ALL,Nomenclature,Manufacturer,Agent,inventory number,Serial number,Installation Date,Operation,Location,warrantly period,Contact data of manufacturer,Department,cause of fault,fault description,Technician name,start date of job order,Action taken,predictive maintenance Scheduling,Price
0,"X-Ray Film processortabletop ",AGFA Healthcare,AGFA Healthcare,XRF 03 06 Radiology,1.24E+11,02-08-17,PPM,3/Radiology/ground,5_years,Fax. +32 3 444 7094,Radiology,,,marina,02-04-17,,"",30000 LE
1,Incubator,Philips Healthcare,Novos,Inc 15 20 Neonatal,1.22E+11,03-03-14,PPM,2/Neonatal/3,5_year,"Flachsmarktstraأںe 832825 Blomberg, Germany+49 5235 3-00",Neonatal,someone destroy the device for some reasons,"all deviceDestroyed",esraa,02-07-20,condemnated,each month,20000 LE
2,Nebulizer,fisher & pykel,IBG Group,Neb 17 30 ICU,8.57E+11,02-05-12,PdM,"5/ICU/2",8_year,Fax. +32 5855 5982,ICU,Misuse,cutting in the tube,Irini,05-09-17,,each month,1000 LE
3,Mammograph,Johnson & Johnson,Fresenius,Mam 01 03 radiology,4.55E+11,07-04-19,calibration,2/Radiology/ground,3_year,Fax. +12 3 524 5054,Radiology,,,fatma,05-07-17,,each month,1000000 LE
4,EEG,iMotions,shenzhen zvepower technology co. ltd,EEG 02 07 out patient clinic neurology,4.51E+11,09-05-11,PPM,2/neurology/3,1_year,"Boston, USA HQ +1 617-520-4958 | Chicago, USA +1 857-702-0776 | na@imotions.com",neurology,"Misuse",electronic circuit burnt,mohamed,06-07-18,condemnated,each month,60000 LE
5,Autoclave,Systec,ZHANGJIAGANG MEDPHARM MACHINERY LTD.,Atc 02 04 sterilization,1.11E+11,08-04-18,PPM,2/sterilization/ground,4_year,"Phone:+49 (0) 6403/67070-0 ,Fax:+49 (0) 6403/67070-222, info@systec-lab.de",sterilization,High current,power cabel destroyed,omar,06-09-19,replace,each month,900000 LE
6,Refrigerator,Danaher Corp.,Danaher Corp.,Rht 01 08,4.12E+11,06-05-16,PdM,7/immunohematology/ground,7_year,+49 7215 3-10,immunohematology,High current,power cabel destroyed,Islam,06-08-17,replace,each 2 months,80000 LE
7,Ultrasound (3 probes),GE Healthcare,IBG group,Ultrasound 001 09 gynacology,4.16E+11,03-07-14,calibration,2/gynacology/1,5_year,Fax. +17 3 604 8961,gynacology,,,yassin,09-09-19,,each 2 months,40000 LE
8,automated external defibrillator,Medtronic,Johnson & Johnson,AED 01 01 ICU,1.29E+11,13-01-11,repair,5/ICU/2,10_years,Fax. +33 4 605 8960,ICU,life time,expired Battery,Mahmoud,13-01-16,exchange,each year,10000L.E
9,Syringe Pump,Smiths Medical ASD Inc,Smiths Group Plc,SGP 07 01  ICU,1.12E+11,24-06-15,repair,5/ICU/2,3_years,Fax. +22 3 604 8961,ICU,life time,expired Battery,Sara,05-05-20,exchange,each month,3000L.E
10,Neonatal / Pediatric Ventilator,F. Stephan Gmbh Medizintechnik,Fritz Stephan GmbH,NNV 05 11 Neonatal,4.45E+11,08-08-16,repair,2/Neonatal/3,5_years,Fax. +20 3 604 111,Neonatal,life time,damaged oxygen sensor,Ahmed,25-11-16,exchange,each month,5000L.E
11,Controlled ventilator,Hamilton Medical AG,Hamilton Bonaduz Ag,COV 06 12 ICU,5.56E+11,04-05-11,repair,5/ICU/2,7_years,Fax. +12 3 524 000,ICU,Abuse,power supply cable is cutting,bassant,05-05-13,,each month,1000L.E
12,Radiant Warmer,"Ningbo David Medical Device Co.,Ltd",CAREMED Egypt,RWR 16 05 Neonatal,2.51E+11,03-02-16,PPM,1/Neonatal/3,2_years,Fax:0574-65962111,Neonatal,,,Adel,04-04-20,Lamp Replacement,each 2 months,20000L.E
13,Monitor,COMEN,SAKR Medical,MON  19 09 ICU,5.39E+11,05-12-17,Calibration,1/Emergency,1_year,Fax: +86-755-26431232,Emergency,,,Khaled,05-05-20,,each 4 months,10000L.E
14,Hemodialysis,Fresenius, Shubham Corporation ,HEM 18 06,8.76E+11,21-08-18,Repair,3/Dialysis/2,3_years,Phone:,Dialysis,Filter,Wrong salts and mineral percentages,Aya,,replace filter,each month,200000L.E
15,MRI,Siemens Healthcare,Siemens Healthcare,MRI  15 01 Radiology,3.00E+11,08-09-19,Repair,1/Radiology/ground,2_years,"Fax: +20 2 23240199Callcenter: 16560",Radiology,Helium content decreases,distorted images,Rahma,,helium Refilled,each 2 months,1500000L.E
16,Linear Accelerator,Elekta,,LAC 10 01 Oncology,2.77E+11,10-10-10,calibration,2/Oncology/1,2_years,Phone:+46 8587 254 00,Oncology,,,Safwat,28-08-20,,each 3 months,500000L.E
17,Endoscopes,Olympus,Endoc Egypt,END 04 02 OR,7.12E+11,28-12-15,PPM,2/OR/4,1_year,"Amsinckstraكe 63, 20097 Hamburg, Germany,Tel: +49 40 237730, Fax: +49 40 233765 ",OR,,,Tharwat,16-03-20,leakage check,each 2 months,250000L.E
